Time,Node,Type,Packets
1,l8-63,CacheMisses,63
1,l8-64,CacheHits,48
1,l8-64,CacheMisses,56
1,l8-65,CacheHits,60
1,l8-65,CacheMisses,55
1,l8-66,CacheHits,54
1,l8-66,CacheMisses,57
1,l8-67,CacheHits,53
1,l8-67,CacheMisses,59
1,l8-68,CacheHits,35
1,l8-68,CacheMisses,66
1,l8-69,CacheHits,55
1,l8-69,CacheMisses,63
1,l8-70,CacheHits,41
1,l8-70,CacheMisses,60
1,l8-71,CacheHits,36
1,l8-71,CacheMisses,50
1,l8-72,CacheHits,35
1,l8-72,CacheMisses,46
1,l8-73,CacheHits,25
1,l8-73,CacheMisses,42
1,l8-74,CacheHits,45
1,l8-74,CacheMisses,46
1,l8-75,CacheHits,23
1,l8-75,CacheMisses,48
1,l8-76,CacheHits,30
1,l8-76,CacheMisses,56
1,l8-77,CacheHits,33
1,l8-77,CacheMisses,42
1,l8-78,CacheHits,29
1,l8-78,CacheMisses,49
1,l8-79,CacheHits,18
1,l8-79,CacheMisses,42
1,l8-80,CacheHits,28
1,l8-80,CacheMisses,44
1,l8-81,CacheHits,11
1,l8-81,CacheMisses,40
1,l8-82,CacheHits,20
1,l8-82,CacheMisses,41
1,l8-83,CacheHits,11
1,l8-83,CacheMisses,38
1,l8-84,CacheHits,18
1,l8-84,CacheMisses,36
1,l8-85,CacheHits,9
1,l8-85,CacheMisses,34
1,l8-86,CacheHits,9
1,l8-86,CacheMisses,36
1,l8-87,CacheHits,10
1,l8-87,CacheMisses,40
1,l8-88,CacheHits,13
1,l8-88,CacheMisses,26
1,l8-89,CacheHits,11
1,l8-89,CacheMisses,29
1,l8-90,CacheHits,6
1,l8-90,CacheMisses,31
1,l8-91,CacheHits,6
1,l8-91,CacheMisses,28
1,l8-92,CacheHits,11
1,l8-92,CacheMisses,28
1,l8-93,CacheHits,0
1,l8-93,CacheMisses,24
1,l8-94,CacheHits,7
1,l8-94,CacheMisses,19
1,l8-95,CacheHits,7
1,l8-95,CacheMisses,18
1,l8-96,CacheHits,0
1,l8-96,CacheMisses,11
1,l8-97,CacheHits,0
1,l8-97,CacheMisses,11
1,l8-98,CacheHits,0
1,l8-98,CacheMisses,8
1,l8-99,CacheHits,0
1,l8-99,CacheMisses,8
1,l8-100,CacheHits,0
1,l8-100,CacheMisses,5
1,l8-101,CacheHits,0
1,l8-101,CacheMisses,1
1,l8-102,CacheHits,0
1,l8-102,CacheMisses,1
1,l8-103,CacheHits,0
1,l8-103,CacheMisses,1
1,l8-104,CacheHits,0
1,l8-104,CacheMisses,1
1,l8-105,CacheHits,0
1,l8-105,CacheMisses,1
1,l8-106,CacheHits,0
1,l8-106,CacheMisses,1
1,l8-107,CacheHits,0
1,l8-107,CacheMisses,1
1,l8-108,CacheHits,0
1,l8-108,CacheMisses,1
1,l8-109,CacheHits,0
1,l8-109,CacheMisses,1
1,l8-110,CacheHits,0
1,l8-110,CacheMisses,1
1,l8-111,CacheHits,0
1,l8-111,CacheMisses,1
1,l8-112,CacheHits,0
1,l8-112,CacheMisses,1
1,l8-113,CacheHits,0
1,l8-113,CacheMisses,1
1,l8-114,CacheHits,0
1,l8-114,CacheMisses,1
1,l8-115,CacheHits,0
1,l8-115,CacheMisses,1
1,l8-116,CacheHits,0
1,l8-116,CacheMisses,1
1,l8-117,CacheHits,0
1,l8-117,CacheMisses,1
1,l8-118,CacheHits,0
1,l8-118,CacheMisses,1
1,l8-119,CacheHits,0
1,l8-119,CacheMisses,1
1,l8-120,CacheHits,0
1,l8-120,CacheMisses,1
1,l8-121,CacheHits,0
1,l8-121,CacheMisses,1
1,l8-122,CacheHits,0
1,l8-122,CacheMisses,1
1,l8-123,CacheHits,0
